Fecha,Incremento Muertos,Muertos,Muertos / millón,Incremento Confirmados,Confirmados,Confirmados / 100.000 - 14 días
31/12/2021,92,91.117,"1.925,28",105.209,6.753.608,"2.526,01"
30/12/2021,98,91.025,"1.923,33",147.675,6.648.399,"2.397,53"
29/12/2021,103,90.927,"1.921,26",149.992,6.500.724,"2.167,19"
28/12/2021,93,90.824,"1.919,09",138.19,6.350.732,"1.928,19"
27/12/2021,96,90.731,"1.917,12",116.449,6.212.542,"1.704,36"
26/12/2021,81,90.635,"1.915,09",52.767,6.096.093,"1.515,88"
25/12/2021,81,90.554,"1.913,38",47.147,6.043.326,"1.431,75"
24/12/2021,75,90.473,"1.911,67",75.375,5.996.179,"1.367,40"
23/12/2021,82,90.398,"1.910,09",97.12,5.920.804,"1.263,35"
22/12/2021,74,90.316,"1.908,35",86.479,5.823.684,"1.102,79"
21/12/2021,73,90.242,"1.906,79",74.607,5.737.205,94544
20/12/2021,85,90.169,"1.905,25",55.249,5.662.598,82633
